name,address,postal_code,latitude,longitude,stars,review_count,is_open,BusinessAcceptsCreditCards,BikeParking,RestaurantsPriceRange2,RestaurantsTakeOut,RestaurantsDelivery,Caters,WiFi,WheelchairAccessible,HappyHour,OutdoorSeating,HasTV,RestaurantsReservations,DogsAllowed,Alcohol,GoodForKids,RestaurantsAttire,RestaurantsTableService,RestaurantsGoodForGroups,DriveThru,NoiseLevel,BusinessAcceptsBitcoin,Smoking,Corkage,zipcode
Angelina's,743 S 8th St,19147,39.94022122,-75.15579667,4.5,49,1,FALSE,NA,3,,TRUE,NA,free,NA,NA,FALSE,TRUE,TRUE,NA,none,FALSE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19147
O Sole Mio,250 Catharine St,19147,39.9378287,-75.1482632,4.5,85,1,TRUE,NA,NA,TRUE,TRUE,TRUE,no,TRUE,FALSE,TRUE,TRUE,TRUE,NA,none,TRUE,NA,TRUE,TRUE,NA,NA,NA,NA,NA,19147
Buca D’Oro ,711 Locust St,19106,39.94707721,-75.15416555,4,5,1,TRUE,NA,NA,TRUE,FALSE,NA,NA,NA,NA,TRUE,NA,,NA,none,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,19106
PrimoHoagies,1528 W Ritner St,19145,39.9209271,-75.1733058,4,43,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,quiet,NA,NA,FALSE,19145
Los Compadres,3300 Market St,19145,39.9553865,-75.1910637,4,12,1,TRUE,TRUE,1,TRUE,FALSE,NA,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,FALSE,TRUE,NA,average,NA,NA,NA,19145
Lazos Pizza & Grill,2533 Poplar St,19130,39.9727751,-75.17898709,4,176,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19130
Ricci's Hoagies,1165 S 11th St,19147,39.9353601,-75.1615836,4,67,1,TRUE,FALSE,1,TRUE,TRUE,TRUE,no,TRUE,NA,TRUE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,average,NA,NA,FALSE,19147
Pina's Pizza,8919 Ridge Ave,19128,40.0694581,-75.2398454,3.5,47,1,TRUE,FALSE,1,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,TRUE,NA,none,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19128
George's Sandwich Shop,900 S 9th St,19147,39.9388316,-75.15798463,4,93,1,FALSE,TRUE,1,TRUE,TRUE,FALSE,no,NA,NA,TRUE,TRUE,FALSE,NA,none,TRUE,casual,NA,FALSE,NA,average,NA,NA,NA,19147
Maria's Ristorante on Summit,8100 Ridge Ave,19128,40.0567171,-75.2363521,3.5,98,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,TRUE,NA,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19128
Izzy's 33,1703 S 9th St,19148,39.92800432,-75.16004462,4.5,24,1,TRUE,FALSE,NA,TRUE,TRUE,TRUE,free,FALSE,NA,TRUE,FALSE,,NA,none,NA,NA,TRUE,NA,NA,NA,NA,NA,TRUE,19148
P & S Ravioli,1640 S 10th St,19148,39.928473,-75.1619827,4.5,6,1,NA,NA,2,TRUE,FALSE,NA,no,NA,NA,FALSE,NA,FALSE,NA,none,TRUE,casual,NA,FALSE,NA,average,NA,NA,NA,19148
Zio Pizza Palace & Grill,157 N 9th St,19107,39.955065,-75.1541846,4,43,1,TRUE,FALSE,1,TRUE,TRUE,TRUE,no,TRUE,NA,FALSE,TRUE,FALSE,FALSE,none,TRUE,casual,FALSE,FALSE,NA,loud,FALSE,NA,FALSE,19107
Ralphs Italian Restaurant,760 S 9th St,19147,39.9400584,-75.1578655,3.5,653,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,TRUE,FALSE,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19147
Frank's Spaghetti House,7602 Castor Ave,19152,40.056184,-75.061858,3.5,43,1,TRUE,FALSE,2,TRUE,FALSE,TRUE,no,NA,NA,FALSE,TRUE,TRUE,NA,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19152
Allegro Pizza,3942 Spruce St,19104,39.9514453,-75.2029159,3,221,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,NA,NA,TRUE,TRUE,FALSE,NA,beer_and_wine,TRUE,casual,NA,TRUE,NA,average,NA,NA,TRUE,19104
Trattoria Carina,2201 Spruce St,19103,39.9488052,-75.1779537,4.5,213,1,TRUE,TRUE,2,TRUE,TRUE,NA,no,NA,FALSE,TRUE,FALSE,TRUE,FALSE,full_bar,FALSE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19103
Al's Italiano Pizzeria & Ristorante,8202 Roosevelt Blvd,19152,40.0605711,-75.0448466,3.5,23,1,TRUE,FALSE,1,TRUE,TRUE,NA,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,quiet,NA,NA,NA,19152
Giovanni's Pizzeria,5604 Greene St,19144,40.0334795,-75.1758562,2.5,46,1,TRUE,TRUE,1,TRUE,TRUE,FALSE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,quiet,NA,NA,NA,19144
PrimoHoagies,128 S 11th St,19107,39.94921619,-75.15905223,3.5,65,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,FALSE,NA,average,NA,NA,NA,19107
Top Tomato Bar & Pizza,116 S 11th St,19107,39.9495688,-75.1589615,3.5,232,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,TRUE,TRUE,TRUE,TRUE,None,FALSE,full_bar,TRUE,casual,TRUE,TRUE,NA,average,FALSE,no,FALSE,19107
Pizzeria Vetri,1939 Callowhill St,19130,39.960888,-75.171213,4,651,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,beer_and_wine,TRUE,casual,TRUE,TRUE,NA,average,FALSE,NA,NA,19130
SALERNO'S Ristorante & Pizzeria,6500-02 Rising Sun Ave,19111,40.0512797,-75.0943052,4,44,1,TRUE,FALSE,1,None,TRUE,TRUE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19111
Pasqually's Pizza,200 S 43rd St,19104,39.9545323,-75.2089392,4,96,1,TRUE,FALSE,1,TRUE,TRUE,FALSE,no,TRUE,NA,FALSE,TRUE,FALSE,NA,beer_and_wine,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19104
Pitruco Pizza Franklin's Table,3401 Walnut St,19104,39.9529913,-75.1922872,4.5,11,1,TRUE,TRUE,NA,TRUE,TRUE,TRUE,free,TRUE,NA,TRUE,FALSE,,NA,none,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,19104
Bistro La Baia,1700 Lombard St,19146,39.945162,-75.1702591,3.5,225,1,TRUE,FALSE,NA,TRUE,TRUE,TRUE,free,TRUE,TRUE,TRUE,FALSE,TRUE,NA,none,NA,NA,TRUE,NA,NA,NA,FALSE,NA,FALSE,19146
Vetri Cucina,1312 Spruce St,19107,39.9466441,-75.1631867,4.5,489,1,TRUE,TRUE,4,TRUE,None,FALSE,no,NA,NA,TRUE,TRUE,TRUE,NA,full_bar,FALSE,dressy,TRUE,FALSE,NA,average,NA,NA,NA,19107
1 Stop Pizza,3701 Germantown Ave,19140,40.0093835,-75.1506617,3.5,8,1,TRUE,NA,1,TRUE,TRUE,NA,no,TRUE,NA,None,NA,,NA,NA,NA,casual,FALSE,NA,FALSE,quiet,NA,NA,NA,19140
Scannicchio's,2500 S Broad & Porter,19145,39.919346,-75.171033,4,187,1,FALSE,TRUE,2,TRUE,TRUE,TRUE,free,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,none,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,FALSE,19145
Italiano's,2551 S 12th St,19148,39.917764,-75.1671583,4.5,51,1,FALSE,FALSE,1,TRUE,FALSE,FALSE,no,NA,NA,TRUE,FALSE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,average,FALSE,NA,NA,19148
Murph's Bar,202 E Girard Ave,19125,39.9689397,-75.1334333,4,315,1,TRUE,TRUE,2,TRUE,None,FALSE,no,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,full_bar,FALSE,casual,TRUE,TRUE,NA,average,NA,yes,NA,19125
Axis Pizza,20 S 36th St,19104,39.9553365,-75.1946097,3,159,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,free,NA,NA,TRUE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,FALSE,average,NA,NA,NA,19104
Porcini,2048 Sansom St,19103,39.951348,-75.1751139,3.5,317,1,TRUE,TRUE,2,TRUE,TRUE,FALSE,free,NA,NA,FALSE,FALSE,TRUE,NA,none,FALSE,casual,NA,FALSE,NA,average,NA,NA,FALSE,19103
Revolution House,200 Market St,19106,39.9497082,-75.1439349,3.5,554,1,TRUE,TRUE,2,TRUE,TRUE,FALSE,free,NA,TRUE,TRUE,TRUE,TRUE,NA,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19106
Mediterranean Banquet Hall,2033 S Bancroft St,19145,39.92530586,-75.17329108,5,10,1,TRUE,NA,NA,TRUE,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19145
Johnnie's Italian Restaurant,4201 Comly St,19135,40.0227483,-75.0634418,4,17,1,TRUE,FALSE,2,TRUE,FALSE,TRUE,no,NA,NA,FALSE,FALSE,TRUE,NA,full_bar,TRUE,casual,NA,TRUE,NA,average,FALSE,NA,NA,19135
Philomena Santucci's Square Pizza,4010 Cottman Ave,19135,40.0361386,-75.0404656,3,44,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,none,TRUE,casual,FALSE,TRUE,FALSE,average,FALSE,NA,NA,19135
Carangi Baking,2655 S Iseminger St,19148,39.9166328,-75.1685035,4.5,34,1,FALSE,TRUE,1,TRUE,FALSE,TRUE,free,NA,NA,TRUE,TRUE,FALSE,NA,none,TRUE,casual,NA,FALSE,NA,average,NA,NA,NA,19148
Marra's,1734 E Passyunk Ave,19148,39.9279881,-75.1658701,3,291,1,TRUE,TRUE,2,TRUE,TRUE,FALSE,no,NA,NA,TRUE,TRUE,TRUE,NA,full_bar,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19148
Aldo and Manny Pizza and Pasta,1431 Arch St,19102,39.9547868,-75.1644935,4,56,1,TRUE,FALSE,NA,TRUE,TRUE,TRUE,NA,TRUE,NA,FALSE,TRUE,FALSE,FALSE,none,NA,casual,TRUE,NA,NA,NA,FALSE,NA,FALSE,19102
Cucina Maria,768 S 8th St,19147,39.93970452,-75.15625969,4.5,8,1,NA,NA,NA,TRUE,TRUE,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19147
Olive Garden Italian Restaurant,9280 Roosevelt Blvd,19115,40.078537,-75.032031,3,129,1,TRUE,FALSE,2,TRUE,TRUE,TRUE,free,TRUE,TRUE,FALSE,TRUE,FALSE,NA,full_bar,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19115
Mezzogiorno,"8000 Essington Ave, Level 2, Terminal B",19153,39.87403442,-75.24380409,2.5,40,1,TRUE,NA,2,TRUE,FALSE,NA,free,NA,NA,NA,NA,FALSE,NA,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,19153
Pizzeria Pesto,1925 S Broad St,19148,39.9261118,-75.1689709,4,120,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,NA,NA,FALSE,TRUE,TRUE,FALSE,none,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19148
Daiva's Grille,6750 Ridge Ave,19128,40.0413479,-75.2255195,3.5,92,1,TRUE,TRUE,1,TRUE,FALSE,FALSE,free,NA,NA,FALSE,FALSE,FALSE,NA,none,TRUE,casual,TRUE,TRUE,FALSE,average,NA,NA,NA,19128
Pizzeria Vetri,1615 Chancellor St,19103,39.94941083,-75.16869774,4,313,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,TRUE,TRUE,None,TRUE,TRUE,TRUE,beer_and_wine,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19103
Dolce Pizza,1619 Grant Ave,19115,40.08726094,-75.03991614,3.5,39,1,TRUE,FALSE,2,TRUE,TRUE,TRUE,free,NA,NA,FALSE,TRUE,TRUE,NA,none,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19115
Il Ghiottone,2723 E Cumberland St,19125,39.9750224,-75.1183932,4.5,8,1,NA,NA,NA,None,None,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19125
The Angelo Pizza,229 Market St,19106,39.9502888,-75.1446988,4.5,66,1,TRUE,NA,NA,TRUE,,NA,NA,NA,NA,TRUE,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19106
By George! Pizza Pasta & Cheesesteaks,51 N 12th St,19107,39.95322224,-75.15946963,4,284,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,NA,FALSE,FALSE,FALSE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,loud,FALSE,NA,NA,19107
Cucina Italiana,2955 Market St,19104,39.95527419,-75.18213267,2.5,5,1,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19104
Bellini,220 S 16th St,19102,39.949084,-75.167867,3,318,1,TRUE,TRUE,2,FALSE,FALSE,TRUE,free,TRUE,TRUE,TRUE,TRUE,TRUE,NA,full_bar,TRUE,casual,TRUE,TRUE,FALSE,average,FALSE,no,NA,19102
Anthony's Italian Coffee House and Chocolate House,903 S 9th St,19147,39.9386913,-75.1577712,4,191,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,NA,NA,TRUE,NA,,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,19147
Bistro Romano,120 Lombard St,19147,39.94193725,-75.14468349,4,546,1,TRUE,FALSE,2,TRUE,TRUE,TRUE,free,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,full_bar,FALSE,dressy,TRUE,TRUE,NA,average,NA,no,NA,19147
Castellino's,1255 E Palmer St,19125,39.97233733,-75.12904046,5,72,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,TRUE,NA,TRUE,FALSE,FALSE,FALSE,none,FALSE,casual,FALSE,FALSE,NA,NA,NA,NA,NA,19125
Alimentari,1730 Chestnut St,19103,39.95131096,-75.17006535,4.5,29,1,TRUE,NA,NA,,FALSE,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,NA,NA,NA,casual,TRUE,TRUE,NA,NA,NA,NA,NA,19103
Aramingo's Best Pizza,2885 Aramingo Ave,19134,39.9846346,-75.1133642,4,38,1,TRUE,FALSE,1,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,FALSE,NA,NA,NA,NA,NA,19134
Renzi's Pizzeria,2728 Orthodox St,19137,39.99804,-75.0744267,3.5,39,1,TRUE,FALSE,2,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19137
Pizzeria Stella,420 S 2nd St,19147,39.94242471,-75.14568239,4,601,1,TRUE,TRUE,2,TRUE,TRUE,FALSE,no,NA,NA,TRUE,TRUE,FALSE,NA,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19147
Cotoletta Fitler Square,2227 Pine St,19103,39.9474735,-75.1791848,4,75,1,TRUE,NA,NA,TRUE,TRUE,TRUE,no,NA,TRUE,TRUE,TRUE,TRUE,NA,full_bar,NA,NA,TRUE,NA,NA,average,FALSE,NA,NA,19103
Branzino Italian Ristorante,261 S 17th St,19103,39.9480133,-75.1693585,3.5,331,1,TRUE,FALSE,2,TRUE,TRUE,TRUE,free,NA,FALSE,TRUE,FALSE,TRUE,NA,none,FALSE,dressy,TRUE,TRUE,NA,average,NA,NA,NA,19103
Little Sicily Pizza,1433 W Passyunk Ave,19145,39.9254545,-75.1708405,3,41,1,TRUE,NA,2,TRUE,TRUE,NA,NA,NA,NA,TRUE,TRUE,FALSE,NA,none,FALSE,casual,NA,FALSE,NA,NA,NA,NA,NA,19145
Bomb Bomb,1026 Wolf St,19148,39.9209915,-75.1643995,4,107,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,no,NA,TRUE,FALSE,TRUE,TRUE,NA,full_bar,TRUE,casual,NA,FALSE,NA,average,NA,NA,TRUE,19148
Isabella Pizza,1824 E Passyunk Ave,19148,39.9271608,-75.1668506,3,149,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,TRUE,FALSE,FALSE,FALSE,FALSE,NA,none,TRUE,casual,FALSE,FALSE,NA,average,FALSE,NA,NA,19148
Macaroni's Restaurant,9315 Old Bustleton Ave,19115,40.0817359,-75.0382522,4,211,1,TRUE,FALSE,3,TRUE,TRUE,TRUE,no,NA,TRUE,TRUE,TRUE,TRUE,NA,full_bar,FALSE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19115
Slice,1180 S 10th St,19147,39.934678,-75.160539,3.5,302,1,FALSE,TRUE,2,TRUE,TRUE,TRUE,free,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,none,TRUE,casual,TRUE,TRUE,NA,average,FALSE,NA,TRUE,19147
DaFranco Pizzeria,742 Red Lion Rd,19115,40.1050859,-75.0337505,4,11,1,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19115
Gran Caffe L'Aquila,1716 Chestnut St,19103,39.9512789,-75.1695181,4.5,1138,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,full_bar,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19103
The Little Sicilian Food Truck,,19104,39.9547909,-75.1887721,3.5,30,1,TRUE,NA,1,TRUE,FALSE,NA,no,NA,NA,NA,NA,,NA,none,NA,NA,NA,NA,NA,NA,NA,NA,NA,19104
Domino's Pizza,"6391 Oxford Ave, Ste B",19111,40.044236,-75.087194,1.5,25,1,TRUE,TRUE,1,TRUE,TRUE,FALSE,no,NA,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,FALSE,NA,quiet,NA,NA,NA,19111
Via Locusta,1723 Locust St,19103,39.9489844,-75.1701508,4.5,144,1,TRUE,NA,3,TRUE,FALSE,TRUE,NA,TRUE,TRUE,TRUE,FALSE,TRUE,NA,full_bar,NA,casual,TRUE,NA,NA,average,FALSE,no,NA,19103
Renzis Pizzeria,6300 Battersby St,19149,40.02987,-75.0625976,3,58,1,TRUE,TRUE,2,TRUE,TRUE,NA,no,TRUE,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,NA,19149
Classic Pizza,748 E Tioga St,19134,40.0011832,-75.1147441,3,17,1,TRUE,NA,1,TRUE,TRUE,NA,no,TRUE,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,quiet,NA,NA,NA,19134
Bronze Table,111 S Independence Mall E,19106,39.9497563,-75.1480623,4,14,1,TRUE,NA,NA,TRUE,TRUE,TRUE,free,TRUE,TRUE,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19106
Casta Diva,227 S 20th St,19103,39.9496781,-75.1738043,4.5,148,1,FALSE,TRUE,3,TRUE,TRUE,FALSE,no,FALSE,FALSE,TRUE,FALSE,TRUE,NA,none,FALSE,casual,TRUE,TRUE,NA,average,FALSE,NA,FALSE,19103
Radicchio Cafe,402 Wood St,19106,39.956611,-75.1463377,4,309,1,TRUE,TRUE,2,TRUE,FALSE,TRUE,no,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,none,FALSE,casual,TRUE,TRUE,NA,average,FALSE,NA,FALSE,19106
Two Eagles Cafe,1401 S 20th St,19146,39.93405627,-75.17732062,4.5,60,1,TRUE,NA,NA,TRUE,TRUE,NA,free,TRUE,FALSE,TRUE,TRUE,FALSE,NA,none,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,19146
Fiore Fine Foods,757 S Front St,19147,39.938608,-75.144302,4.5,89,1,TRUE,FALSE,NA,TRUE,FALSE,FALSE,free,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,full_bar,NA,NA,TRUE,NA,NA,average,FALSE,NA,NA,19147
Little Nonna's,1234 Locust St,19107,39.94778644,-75.16189281,4,1147,1,TRUE,TRUE,2,TRUE,TRUE,FALSE,no,NA,FALSE,None,FALSE,TRUE,FALSE,full_bar,FALSE,casual,NA,TRUE,NA,average,NA,NA,NA,19107
Di Bruno Bros.,1730 Chestnut St,19103,39.951311,-75.1700653,4,550,1,TRUE,TRUE,2,None,None,TRUE,free,TRUE,NA,None,FALSE,FALSE,FALSE,none,TRUE,casual,NA,TRUE,NA,average,NA,NA,FALSE,19103
Maggiano's Little Italy,1201 Filbert St,19107,39.9531992,-75.1602278,3.5,676,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,NA,TRUE,None,TRUE,TRUE,FALSE,full_bar,TRUE,casual,TRUE,TRUE,NA,average,NA,no,FALSE,19107
Azione,241 Chestnut St,19106,39.948674,-75.145814,2,5,1,TRUE,NA,2,TRUE,FALSE,FALSE,no,NA,NA,FALSE,TRUE,TRUE,NA,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19106
Montesini Pizza,6420 Frankford Ave,19135,40.02951086,-75.05838567,4,55,1,TRUE,FALSE,1,TRUE,TRUE,FALSE,NA,NA,NA,FALSE,TRUE,FALSE,NA,beer_and_wine,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19135
Popi's Italian Restaurant,3120 S 20th St,19145,39.91159645,-75.18263594,3.5,153,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,no,NA,NA,TRUE,TRUE,TRUE,NA,full_bar,TRUE,casual,NA,TRUE,NA,average,NA,NA,NA,19145
Drougie's Pizza,3542 Cottman Ave,19149,40.036958,-75.0415951,2.5,90,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,no,TRUE,NA,FALSE,TRUE,FALSE,NA,none,TRUE,casual,FALSE,TRUE,NA,very_loud,NA,NA,NA,19149
Fiorella,817 Christian St,19147,39.93886778,-75.156939,4.5,120,1,TRUE,FALSE,NA,FALSE,FALSE,FALSE,free,NA,FALSE,TRUE,FALSE,TRUE,FALSE,full_bar,NA,NA,NA,NA,FALSE,average,NA,NA,NA,19147
Bruno's,9800 Germantown Pike,19118,40.086094,-75.230789,3,114,1,TRUE,TRUE,1,TRUE,TRUE,NA,free,NA,NA,TRUE,FALSE,FALSE,TRUE,none,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,FALSE,19118
Matt & Marie's,"100 N 18th St, Ste 120",19103,39.9558026,-75.1694544,4,201,1,TRUE,TRUE,1,TRUE,TRUE,TRUE,free,NA,NA,FALSE,FALSE,FALSE,NA,none,TRUE,casual,NA,TRUE,NA,average,FALSE,NA,NA,19103
La Viola Ovest,252 S 16th St,19102,39.9480118,-75.1680247,3.5,209,1,TRUE,TRUE,2,TRUE,TRUE,FALSE,no,NA,NA,TRUE,FALSE,TRUE,NA,none,FALSE,casual,NA,TRUE,NA,average,NA,NA,NA,19102
Positano Coast by Aldo Lamberti,"212 Walnut St, Fl 2",19106,39.9466579,-75.144724,3.5,689,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,free,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,full_bar,FALSE,casual,TRUE,TRUE,NA,average,FALSE,no,NA,19106
Palizzi Filippo Social Club,1408 S 12th St,19147,39.9321574,-75.1644109,4.5,15,1,FALSE,NA,3,FALSE,FALSE,NA,no,NA,NA,NA,NA,FALSE,NA,full_bar,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,19147
Pitruco Pizza,,19104,39.9583587,-75.1953934,4.5,142,1,TRUE,TRUE,1,TRUE,FALSE,TRUE,no,NA,NA,TRUE,TRUE,FALSE,NA,none,TRUE,casual,NA,FALSE,NA,average,NA,NA,NA,19104
Enjay's Pizza,210 S 40th St,19104,39.9536784,-75.2027865,4,53,1,TRUE,FALSE,2,TRUE,TRUE,TRUE,free,NA,NA,FALSE,TRUE,TRUE,NA,full_bar,FALSE,casual,NA,TRUE,NA,average,NA,NA,NA,19104
Francoluigi's Pizzeria & Italian Restaurant,1549 S 13th St,19147,39.9302667,-75.1659499,4,303,1,TRUE,TRUE,2,TRUE,TRUE,TRUE,no,NA,NA,FALSE,TRUE,TRUE,FALSE,full_bar,TRUE,casual,TRUE,TRUE,NA,average,NA,NA,TRUE,19147
La Viola,"253 S 16th St, Apt 1",19102,39.947783,-75.1677739,3.5,524,1,FALSE,TRUE,2,TRUE,TRUE,FALSE,no,NA,NA,TRUE,FALSE,TRUE,NA,none,FALSE,casual,TRUE,TRUE,NA,loud,NA,NA,FALSE,19102
Melograno,2012 Sansom St,19103,39.9512428,-75.1741148,3.5,451,1,TRUE,TRUE,3,TRUE,FALSE,FALSE,no,TRUE,FALSE,TRUE,FALSE,TRUE,NA,none,FALSE,casual,TRUE,TRUE,NA,average,NA,NA,FALSE,19103
